DSO,Rank,Month
100064220170000402,4,
100067969170001021,9,202609
100067997170000545,1,
100068001170000851,18,
100068131170000004,1,
100006155170001392,4,
100060934170000804,6,202607
100063653170001366,21,202605
100063685170001807,1,
100063799170000636,1,
100064117170001709,10,202606
100064209170000470,2,202606
100064219170001411,3,
100067969170001013,11,202607
100068005170001586,7,
100059897170001791,10,
100063733170001128,9,202605
100063972170000718,10,202606
100064217170001107,4,
100067962170001131,5,
100067996170000710,11,
100063653170001360,7,
100060934170000799,10,202603
100064244170000356,1,
100059895170001452,4,
100060632170000944,5,
100061489170004022,39,
100061819170000607,2,
100063686170002631,9,
100063982170001726,7,
100064108170000831,9,
100064206170000939,3,
100064207170000922,9,202606
100069978170000338,3,
100060512170002747,9,
100062954170000886,1,
100063795170000990,1,
100064106170002687,10,
100064164170000539,8,202602
100064240170000388,1,
100064241170000702,2,
100067974170000208,1,
100067978170000283,3,
100069977170001400,3,202606
100006370170000617,2,202605
100059895170001450,20,
100060512170002746,5,
100063748170001446,1000,202601
100064106170002683,27,
100064241170000693,12,
100064244170000353,4,
100068126170000088,2,
100006260170002020,2,202609
100006740170001476,1000,202511
100060512170002745,3000,202512
100060643170001226,1000,202509
100061220170001584,2000,202605
100063686170002620,14,
100063982170001725,3,
100064125170001478,1000,202604
100064204170000554,7,202606
100007004170000138,1,
100061115170002214,6,
100063663170000843,6,
100063976170004661,21,
100063976170004669,13,
100064200170000912,6,
100068004170000140,11,
100060512170002742,10,
100061115170002210,9,
100061489170004016,47,
100063750170000663,5,202606
100067969170001002,2000,202511
100069964170000971,2,
100060512170002739,12,
100061115170002201,29,202607
100063653170001351,26,202604
100063734170001994,12,202609
100064106170002662,36,
100064106170002670,14,
100064106170002678,32,
100064117170001698,15,202605
100064219170001399,2000,202509
100064220170000400,1000,202508
100068125170000224,1,
100006317170001216,1,
100006345170000573,1,202603
100059887170000074,3,
100059898170000389,1,
100061115170002195,10,
100063663170000841,6,
100063795170000986,10,202605
100064125170001475,9,202605
100064241170000682,21,202609
100069978170000333,4,
100060512170002737,16,
100061115170002191,39,202605
100061961170001036,1,202511
100063880170000979,1,202601
100067996170000703,13,202607
100068125170000220,1,
100059895170001442,26,202608
100064244170000349,9,
100006740170001469,3,
100006159170000910,4,
100060632170000937,12,202605
100061489170004005,57,
100063685170001803,3,
100063686170002611,12,
100063815170001179,3,
100063976170004614,37,
100063976170004630,42,
100063976170004638,66,
100063976170004646,61,
100063976170004654,53,
100064106170002658,1000,
100068018170000573,1000,
100069967170001351,3,202605
100060697170000912,6,202605
100063686170002598,20,
100063976170004593,86,
100063976170004601,79,
100063982170001719,10,202609
100064011170000768,5,
100067962170001128,1000,202512
100006740170001466,2,202605
100006870170000933,1,
100006345170000571,6,202605
100059887170000070,1,
100063663170000838,8,
100063734170001985,18,202606
100063972170000713,3,
100064117170001696,4,
100059887170000066,1000,202605
100059896170000841,5,
100060512170002726,13,
100061489170003993,15,
100006730170001110,1000,202512
100061489170003968,73,
100061489170003976,75,
100061489170003984,60,
100063685170001795,7,
100063799170000627,8,202607
100064108170000813,5,
100064208170001123,1000,202606
100068005170001571,17,202609
100069977170001396,4,
100063653170001348,10,
100006730170001108,7000,202511
100059897170001778,13,
100064219170001383,12,
100064219170001391,10,
100068016170000177,2,
100069969170000736,4,
100069969170000745,2,
100006470170001501,5,
100059895170001427,32,202606
100060512170002717,21,202606
100060643170001225,4,202609
100061115170002185,12,
100063685170001788,10,
100063686170002586,12,
100063976170004592,6000,202509
100064127170001992,18,202607
100064208170001118,4,
100064230170001631,6,
100068001170000836,10,
100068001170000845,23,202607
100068009170000311,1,
100069969170000723,10,
100069977170001387,8,
100051369170000923,1,
100060512170002714,24,202606
100061949170001056,1000,202512
100063653170001338,11,
100063653170001346,10,
100063685170001779,19,
100063686170002581,22,
100064106170002649,19,
100064245170000363,3,
100068009170000301,1,
100068009170000309,7,
100084086170001140,16,
100111868170000253,1,
100006740170001456,5,
100060643170001220,7,202603
100061220170001559,14,202606
100061489170003960,22,
100062954170000880,3,202607
100063686170002552,29,
100063686170002560,46,
100063686170002568,38,
100063686170002576,30,
100064203170000338,1000,202510
100064245170000361,3,
100068009170000287,10,
100068009170000295,17,
100068016170000173,1,
100069964170000961,8,202607
100111868170000247,8,
100006998170000200,2000,202512
100059898170000388,2,202609
100060049170001297,7,202606
100060512170002705,19,
100061489170003951,30,
100063653170001332,13,
100063685170001768,15,
100063843170000845,3,
100064012170001285,1000,202509
100064230170001614,18,
100064230170001622,5,
100068009170000284,3,
100084086170001138,18,
100059898170000387,3,202609
100060512170002696,22,
100060643170001219,2000,202510
100064230170001606,7,
100065284170000821,2,
100068001170000833,2,
100084086170001137,19,
100063755170000932,8,
100063755170000940,12,202609
100064230170001588,33,
100064230170001596,26,
100084086170001132,20,
100059279170000385,2,
100059897170001749,23,202607
100059897170001758,3000,202605
100061972170001673,16,
100061972170001681,25,
100064219170001378,1,
100006870170000913,5,
100059896170000830,19,202606
100060512170002683,9,
100061220170001558,3000,202603
100063799170000625,2,
100063982170001711,16,202606
100064012170001282,5,
100064230170001579,14,
100067996170000697,3,
100069960170000845,8,202607
100059897170001729,29,202606
100060512170002680,10,202606
100063685170001755,17,
100063982170001709,20,202603
100068003170000152,2,
100063795170000981,13,202604
100063976170004575,19000,202509
100064117170001688,1000,202603
100067962170001119,10,202607
100068125170000191,5000,202510
100061489170003944,1,
100063795170000977,4000,202601
100063815170001171,5,202609
100007006170000292,1,
100059897170001725,35,202605
100060512170002664,5000,202602
100061489170003940,2000,202601
100063815170001162,14,202604
100063686170002542,6,
100064230170001574,4,
100006470170001500,4,202602
100061972170001660,4,
100063686170002531,20,
100063686170002539,19,
100059895170001417,9,
100060512170002658,11,202605
100063686170002514,26,
100063686170002522,21,
100063686170002530,5,
100063748170001431,12,202609
100063748170001439,6,
100064230170001572,2,
100069957170000603,4,
100006280170001902,1,
100059897170001718,20,202605
100060697170000906,2,
100063750170000654,8,
100006155170001386,1,
100007002170000417,2000,202606
100062954170000876,2000,202510
100064220170000257,4000,202510
100064220170000265,12,202510
100064220170000273,1,202606
100064220170000281,7,202511
100006260170002015,3,202609
100060512170002649,4000,202601
100064108170000809,8,
100067962170001112,3,
100051369170000920,1,
100006870170000905,8000,202511
100006125170002643,2,
100064117170001680,6,
100064212170000984,12,202602
100064113170000439,1,
100064127170001984,3000,202601
100059897170001716,9,
100068004170000139,1000,202605
100059896170000826,4,
100064106170002640,6,
100006730170001098,2,
100007006170000282,2000,202510
100006345170000568,1,
100061489170003932,5000,
100063663170000821,4,
100064152170000659,3,
100068009170000283,2,
100068018170000550,8,
100060934170000792,2,
100063742170000515,1,
100064222170000227,2,
100061489170003927,8000,
100063653170001316,19,
100064152170000657,4,
100064230170001570,2000,202509
100007006170000077,5000,202603
100007006170000093,1,
100007006170000149,6000,202509
100007006170000141,15,202605
100063663170000815,9,
100007006170000125,3000,202512
100007006170000133,10000,202510
100061489170003921,5000,202601
100064106170002638,3,
100007006170000109,14000,202510
100007006170000117,12000,202511
100007006170000189,10,
100007006170000173,11,
100060512170002629,1,202601
100063653170001310,18,
100064106170002634,1,
100064204170000545,3,
100068125170000185,2000,202509
100069969170000706,1,
100007006170000061,6000,202603
100007006170000165,13,
100007006170000197,1000,202509
100007006170000069,6,
100007001170001113,1,
100061489170003913,15,
100063653170001307,1,
100006125170002544,9000,202510
100006185170000842,3,
100006205170000587,9000,202509
100006730170000651,9000,202509
100006335170001381,8,
100060512170002468,53,
100061489170003729,63,202605
100063707170001149,9000,
100063843170000802,15,
100006525170000835,1000,202509
100006999170000489,4,
100064100170000969,3,
100006485170001333,5000,202512
100063884170001347,14,
100063884170001355,20,202606
100063884170001363,28,202604
100064113170000374,9,
100064113170000382,16,202604
100064113170000390,24,202511
100006385170001897,8000,202510
100007001170001032,13000,202510
100064230170000943,20000,202510
100064244170000209,23,202602
100063795170000934,1000,202603
100068001170000807,12,
100006790170000281,2,202604
100006095170001138,11,
100063686170002388,1000,202509
100063843170000806,1000,202601
100063976170004471,62,
100063976170004479,38,
100068016170000118,6000,
100069969170000466,15,202510
100084086170000803,14,
100006155170000840,4000,202601
100069960170000368,1,
100006485170000858,10000,202509
100063734170001238,36,202601
100007003170000014,5000,202510
100067969170000578,2000,202601
100064219170001310,6,
100059897170001032,38,202607
100063686170001648,98,202602
100006995170000456,8000,202606
100063880170000793,2000,202512
100006125170002606,20,
100064106170002384,65,
100064219170000888,9000,202511
100063653170000762,84,202605
100064222170000183,4,
100064117170001219,12,
100052806170000446,3,202511
100064219170001293,18,202601
100061972170001554,1000,
100006962170000112,1000,202512
100059895170000393,6000,202511
100069969170000439,20,202509
100064209170000307,5000,202509
100061489170003697,12000,
100006055170001057,3,
100006055170001050,6,
100006385170002613,2000,202510
100006730170001062,10,
100006810170000780,4,
100007001170001068,21,
100064106170001770,70,202602
100060697170000887,3,
100060934170000544,6,
100006880170000948,14,202606
100059897170001670,14,202605
100061972170001614,11,
100006135170002594,9,202605
100006391170000366,1000,202510
100063653170001224,48,
100006810170000787,6000,202510
100063653170001274,7,
100006280170001298,37,202609
100063686170001630,21000,202510
100006740170001404,9000,202511
100063686170002439,2,
100063715170001089,2000,202602
100063715170001090,4,
100063734170001972,3,
100063734170001975,4,
100006035170000923,1000,202510
100063795170000959,3,
100006135170002597,7,
100006385170002622,5,
100063815170001155,1000,202609
100063653170001264,37,
100063843170000817,11,
100060610170001433,2000,202602
100063884170001419,8,
100063884170001427,51,
