Month,DSO
202609,100064217170001131
202609,100060639170002722
202609,100059895170001506
202609,100006480170001646
202609,100060610170001479
202609,100060610170001470
202609,100060739170001137
202609,100063734170001995
202609,100060632170000938
202609,100063982170001720
202609,100064012170001293
202609,100059887170000071
202609,100069964170000962
202609,100060648170000841
202609,100063755170000941
202609,100063748170001432
202609,100006317170000851
202609,100006730170000593
202609,100006317170001154
202609,100006730170000617
202609,100063748170001398
202609,100068003170000123
202609,100067997170000516
202609,100052806170000462
202609,100006485170000994
202609,100006485170001002
202609,100006997170000420
202609,100063750170000523
202609,100006280170001305
202609,100007001170001031
202609,100006125170001993
202609,100006280170001365
202609,100006740170000907
202609,100006280170001082
202609,100061819170000359
202609,100006999170000270
202609,100063734170001496
202609,100063707170001148
202609,100006730170000626
202609,100067997170000349
202609,100063799170000477
202609,100061220170001501
202609,100060049170000940
202609,100006125170001969
202609,100060610170001128
202609,100006135170002536
202609,100006280170001256
202609,100063734170001376
202609,100060934170000567
202609,100059897170000730
202609,100060049170000958
202609,100064127170001495
202609,100006880170000643
202609,100064117170001117
202609,100063707170000934
202609,100064200170000706
202609,100063734170001440
202609,100006470170001086
202609,100061961170000801
202609,100063793170000501
202609,100060697170000701
202609,100063755170000648
202609,100060579170000638
202609,100069957170000292
202608,100060697170000921
202608,100064217170001119
202608,100067969170001022
202608,100064241170000683
202608,100069957170000604
202608,100006260170002016
202608,100006335170001398
202608,100006740170000899
202608,100064212170000580
202608,100069967170001072
202608,100059895170000807
202608,100067969170000609
202607,100006280170001943
202607,100061115170002246
202607,100059887170000094
202607,100006125170002680
202607,100067962170001145
202607,100064117170001715
202607,100006120170001115
202607,100061961170001051
202607,100059896170000871
202607,100063715170001146
202607,100060632170000951
202607,100064125170001496
202607,100063972170000723
202607,100060934170000805
202607,100063707170001671
202607,100069967170001365
202607,100061220170001565
202607,100059895170001430
202607,100064208170001119
202607,100068001170000846
202607,100063982170001713
202607,100069960170000846
202607,100067962170001120
202607,100007006170000174
202607,100007006170000182
202607,100063734170001352
202607,100063972170000518
202607,100060579170000614
202607,100006260170001990
202607,100006135170002528
202607,100068126170000036
202607,100070657170000446
202607,100064212170000596
202607,100006500170000936
202607,100068001170000433
202607,100060747170000249
202607,100061115170001576
202607,100006205170000650
202607,100006810170000743
202607,100006385170001912
202607,100067997170000339
202607,100006480170001109
202607,100064217170000730
202607,100064114170000680
202607,100064212170000645
202607,100007002170000215
202607,100064217170000811
202607,100059897170000755
202607,100006155170001032
202607,100006480170001179
202607,100063748170001131
202607,100060934170000452
202607,100069964170000685
202607,100060632170000667
202607,100063982170001432
202607,100064127170001471
202607,100006435170000777
202607,100006740170000941
202607,100006997170000418
202607,100060632170000651
202607,100006760170000901
202607,100067962170000844
202607,100061949170000837
202607,100062954170000718
202607,100060049170000948
202606,100063904170001272
202606,100006385170002687
202606,100060579170000902
202606,100063793170000987
202606,100063972170000743
202606,100069964170000978
202606,100069967170001372
202606,100006880170001007
202606,100063742170000526
202606,100063750170000668
202606,100064164170000547
202606,100064203170000341
202606,100063653170001380
202606,100064113170000449
202606,100067969170001014
202606,100063734170001999
202606,100064117170001706
202606,100064117170001704
202606,100064200170000919
202606,100064204170000555
202606,100063707170001669
202606,100060632170000939
202606,100061115170002202
202606,100061115170002196
202606,100063795170000987
202606,100060610170001463
202606,100067996170000704
202606,100069967170001352
202606,100063734170001986
202606,100064209170000466
202606,100062954170000881
202606,100060049170001298
202606,100060512170002688
202606,100065284170000822
202606,100068005170001559
202606,100059279170000386
202606,100064012170001275
202606,100059897170001730
202606,100063815170001172
202606,100063793170000959
202606,100064220170000274
202606,100007006170000062
202606,100006860170001423
202606,100064219170001326
202606,100063653170000778
202606,100006880170000949
202606,100006301170000619
202606,100064219170001354
202606,100061489170003772
202606,100063755170000531
202606,100006860170001444
202606,100068009170000253
202606,100068016170000133
202606,100067996170000412
202606,100064106170002443
202606,100068009170000265
202606,100069969170000691
202606,100060648170000712
202606,100063795170000732
202606,100006159170000626
202606,100061220170001118
202606,100067997170000323
202606,100063653170000851
202606,100061115170001690
202606,100059897170000462
202606,100068009170000126
202606,100006125170001961
202606,100061220170001493
202606,100006760170000850
202606,100059896170000414
202606,100060512170001679
202606,100063734170001312
202606,100006280170001281
202606,100064230170001055
202606,100068001170000413
202606,100059897170000714
202606,100068001170000497
202606,100068001170000505
202606,100006385170001872
202606,100063976170003679
202606,100060639170002288
202606,100068005170001235
202606,100060610170001104
202606,100063976170003767
202606,100063755170000505
202606,100006125170001953
202606,100060512170002368
202606,100064125170001420
202606,100064206170000693
202606,100069964170000725
202606,100063686170001748
202606,100064203170000265
202606,100006125170001945
202606,100064240170000315
202605,100006280170001920
202605,100006125170002672
202605,100063843170000859
202605,100064217170001129
202605,100064100170001003
202605,100064100170000994
202605,100059895170001493
202605,100068125170000234
202605,100063707170001686
202605,100064152170000666
202605,100063653170001367
202605,100064125170001480
202605,100064117170001699
202605,100069977170001388
202605,100059277170000101
202605,100068018170000572
202605,100059896170000831
202605,100064012170001283
202605,100069960170000840
202605,100059897170001726
202605,100060512170002665
202605,100063815170001163
202605,100067962170001113
202605,100007006170000086
202605,100007006170000166
202605,100006485170001325
202605,100064100170000685
202605,100006120170000769
202605,100064114170000984
202605,100006260170001991
202605,100006860170001416
202605,100006435170000761
202605,100060610170001441
202605,100006790170000506
202605,100063733170000847
202605,100064217170000682
202605,100064208170000755
202605,100006335170000947
202605,100059895170000416
202605,100063734170001504
202605,100060512170002521
202605,100064219170001317
202605,100063707170000966
202605,100064125170000911
202605,100006997170000197
202605,100068125170000091
202605,100068009170000150
202605,100007004170000039
202605,100060643170000979
202605,100006860170001406
202605,100007001170000564
202605,100061115170001682
202605,100063755170000632
202605,100007003170000086
202605,100063733170000895
202605,100064117170001236
202605,100064117170001244
202605,100060648170000703
202605,100059896170000406
202605,100059895170000918
202605,100006135170002016
202605,100006385170001840
202605,100059279170000182
